team_ID,name,founded,wins,ties,losses,points,stadium_ID
0,Manchester City,1894-05-16,,,,,6
1,Manchester United,1902,,,,,11
2,Liverpool,1892-06-03,,,,,1
3,Chelsea,1905-03-10,,,,,15
4,Leicester City,1884,,,,,8
5,West Ham United,1900-07-05,,,,,9
6,Tottenham Hotspur,1882-09-05,,,,,17
7,Arsenal,1886,,,,,5
8,Leeds United,1919-10-17,,,,,4
9,Everton,1878,,,,,7
10,Aston Villa,1874-11-21,,,,,19
11,Newcastle United,1892-12-09,,,,,14
12,Wolverhampton Wanderers,1877,,,,,10
13,Crystal Palace,1905-09-10,,,,,13
14,Southampton,1885-09-21,,,,,12
15,Brighton & Hove Albion,1901-06-24,,,,,0
16,Burnley,1882-05-18,,,,,18
17,Fulham,1879,,,,,3
18,West Bromwich Albion,1878,,,,,16
19,Sheffield United,1889-03-22,,,,,2
